SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),169,129,40,79,79,19,90,69,21
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,140,107,33,66,66,18,74,59,15
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,28,21,7,12,12,1,16,10,6
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,1,1,0,1,1,0,0,0,0
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),13774,9786,3988,11113,11113,2934,2661,1607,1054
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,203,144,59,201,201,59,2,2,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,120,97,23,117,117,22,3,2,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,997,773,224,987,987,220,10,6,4
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,6650,5148,1502,6233,6233,1380,417,295,122
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,5364,3336,2028,3218,3218,1141,2146,1259,887
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,179,109,70,129,129,45,50,25,25
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,246,172,74,217,217,63,29,18,11
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,15,7,8,11,11,4,4,0,4
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2496,1860,636,1782,1782,361,714,439,275
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,14,12,2,14,14,2,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,189,166,23,186,186,20,3,0,3
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1391,1095,296,1339,1339,281,52,37,15
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,883,576,307,232,232,54,651,398,253
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,2,2,0,0,0,0,2,2,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,17,9,8,11,11,4,6,2,4
Artificial Intelligence,11.0701,Computer Science,All award levels (total),28215,22878,5337,19727,19727,3061,8488,6212,2276
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,13,11,2,10,10,2,3,3,0
Artificial Intelligence,11.0701,Computer Science,Associate's degree,1422,1242,180,1360,1360,166,62,48,14
Artificial Intelligence,11.0701,Computer Science,Bachelor's degree,16523,13969,2554,15147,15147,2252,1376,1074,302
