SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,14.0903,Computer Software Engineering,Postsecondary certificate < 60 semester credit hours,7,3,4,7,7,4,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Associate's degree,20,18,2,20,20,2,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Bachelor's degree,860,764,96,816,816,89,44,37,7
Artificial Intelligence,14.0903,Computer Software Engineering,Master's degree,2138,1361,777,532,532,168,1606,997,609
Artificial Intelligence,14.0903,Computer Software Engineering,Doctor's degree – research/scholarship,10,6,4,8,8,3,2,1,1
Artificial Intelligence,14.0903,Computer Software Engineering,Postbaccalaureate certificate,73,52,21,56,56,9,17,5,12
Artificial Intelligence,27.0303,Computational Mathematics,All award levels (total),209,161,48,147,147,31,62,45,17
Artificial Intelligence,27.0303,Computational Mathematics,Bachelor's degree,175,133,42,129,129,31,46,35,11
Artificial Intelligence,27.0303,Computational Mathematics,Master's degree,14,12,2,7,7,0,7,5,2
Artificial Intelligence,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,20,16,4,11,11,0,9,5,4
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,All award levels (total),1558,1001,557,1279,1279,437,279,159,120
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Associate's degree,13,11,2,13,13,2,0,0,0
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Bachelor's degree,1112,736,376,1061,1061,357,51,32,19
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Master's degree,307,176,131,154,154,60,153,82,71
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Doctor's degree – research/scholarship,125,77,48,50,50,18,75,45,30
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Postbaccalaureate certificate,1,1,0,1,1,0,0,0,0
