SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.1005,Information Technology Project Management,Postbaccalaureate certificate,66,36,30,55,55,26,11,7,4
Artificial Intelligence,14.0903,Computer Software Engineering,All award levels (total),3414,2545,869,2012,2012,381,1402,914,488
Artificial Intelligence,14.0903,Computer Software Engineering,Postsecondary certificate < 60 semester credit hours,1,1,0,1,1,0,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Associate's degree,67,50,17,67,67,17,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Bachelor's degree,1519,1291,228,1400,1400,209,119,100,19
Artificial Intelligence,14.0903,Computer Software Engineering,Master's degree,1766,1163,603,508,508,144,1258,799,459
Artificial Intelligence,14.0903,Computer Software Engineering,Doctor's degree – research/scholarship,14,13,1,3,3,0,11,10,1
Artificial Intelligence,14.0903,Computer Software Engineering,Postbaccalaureate certificate,47,27,20,33,33,11,14,5,9
Artificial Intelligence,27.0303,Computational Mathematics,All award levels (total),257,158,99,176,176,60,81,42,39
Artificial Intelligence,27.0303,Computational Mathematics,Bachelor's degree,233,138,95,158,158,57,75,37,38
Artificial Intelligence,27.0303,Computational Mathematics,Master's degree,7,6,1,5,5,0,2,1,1
Artificial Intelligence,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,14,12,2,10,10,2,4,4,0
Artificial Intelligence,27.0303,Computational Mathematics,Postbaccalaureate certificate,3,2,1,3,3,1,0,0,0
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,All award levels (total),1559,950,609,1326,1326,503,233,127,106
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Associate's degree,11,11,0,11,11,0,0,0,0
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Bachelor's degree,1205,739,466,1131,1131,425,74,33,41
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Master's degree,208,120,88,142,142,57,66,35,31
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Doctor's degree – research/scholarship,130,77,53,40,40,20,90,57,33
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Postbaccalaureate certificate,5,3,2,2,2,1,3,2,1
Biotechnology and Synthetic Biology,26.0202,Biochemistry,All award levels (total),9960,4728,5232,9165,9165,4757,795,320,475
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Associate's degree,15,5,10,15,15,10,0,0,0
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Bachelor's degree,9138,4307,4831,8549,8549,4464,589,222,367
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Master's degree,303,135,168,243,243,135,60,27,33
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Doctor's degree – research/scholarship,502,280,222,358,358,148,144,70,74
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Post-master's certificate,2,1,1,0,0,0,2,1,1
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,All award levels (total),3875,1562,2313,3558,3558,2127,317,131,186
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Associate's degree,6,3,3,6,6,3,0,0,0
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Bachelor's degree,3212,1280,1932,3038,3038,1831,174,73,101
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Master's degree,213,82,131,172,172,108,41,18,23
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Doctor's degree – research/scholarship,444,197,247,342,342,185,102,40,62
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",All award levels (total),2906,1200,1706,2768,2768,1607,138,39,99
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Associate's degree,11,5,6,11,11,6,0,0,0
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Bachelor's degree,2495,1027,1468,2431,2431,1422,64,18,46
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Master's degree,200,84,116,170,170,95,30,9,21
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Doctor's degree – research/scholarship,200,84,116,156,156,84,44,12,32
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",All award levels (total),549,200,349,487,487,314,62,27,35
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Bachelor's degree,362,116,246,338,338,231,24,9,15
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Master's degree,51,21,30,40,40,23,11,4,7
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Doctor's degree – research/scholarship,136,63,73,109,109,60,27,14,13
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,All award levels (total),230,87,143,171,171,101,59,17,42
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Bachelor's degree,67,31,36,61,61,32,6,2,4
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Master's degree,115,38,77,71,71,45,44,12,32
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Doctor's degree – research/scholarship,48,18,30,39,39,24,9,3,6
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,All award levels (total),953,519,434,707,707,303,246,115,131
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Associate's degree,5,1,4,5,5,4,0,0,0
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Bachelor's degree,296,165,131,267,267,112,29,10,19
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Master's degree,476,240,236,310,310,137,166,67,99
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Doctor's degree – research/scholarship,129,83,46,89,89,36,40,30,10
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Postbaccalaureate certificate,47,30,17,36,36,14,11,8,3
Biotechnology and Synthetic Biology,26.1201,Biotechnology,All award levels (total),2730,1168,1562,2243,2243,1231,487,156,331
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postsecondary certificate < 60 semester credit hours,37,12,25,36,36,24,1,0,1
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Associate's degree,198,71,127,182,182,114,16,3,13
