SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),247,189,58,127,127,26,120,88,32
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,11,11,0,11,11,0,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,205,153,52,104,104,23,101,72,29
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,31,25,6,12,12,3,19,16,3
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),17091,11766,5325,12669,12669,3546,4422,2643,1779
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,194,149,45,193,193,44,1,0,1
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,130,101,29,128,128,28,2,1,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,957,768,189,940,940,185,17,13,4
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,8327,6213,2114,7792,7792,1935,535,356,179
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6913,4204,2709,3261,3261,1199,3652,2142,1510
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,164,89,75,105,105,50,59,34,25
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,391,239,152,235,235,93,156,97,59
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,15,3,12,15,15,12,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2219,1616,603,1570,1570,339,649,385,264
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,142,120,22,141,141,21,1,0,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,103,87,16,99,99,14,4,2,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1143,891,252,1061,1061,217,82,47,35
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,698,443,255,211,211,65,487,297,190
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,2,2,0,0,0,0,2,2,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,131,73,58,58,58,22,73,37,36
Artificial Intelligence,11.0701,Computer Science,All award levels (total),44106,34642,9464,30744,30744,5539,13362,9437,3925
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,60,53,7,56,56,6,4,3,1
