SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),384,271,113,178,178,48,206,141,65
Artificial Intelligence,11.0102,Artificial Intelligence,Associate's degree,1,1,0,1,1,0,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,39,35,4,39,39,4,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,297,200,97,126,126,41,171,115,56
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,32,26,6,10,10,1,22,17,5
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,15,9,6,2,2,2,13,9,4
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),18023,12063,5960,14305,14305,4293,3718,2051,1667
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,222,182,40,221,221,40,1,1,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,96,79,17,94,94,15,2,0,2
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,929,760,169,914,914,162,15,8,7
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,9617,7111,2506,8976,8976,2268,641,403,238
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6616,3637,2979,3688,3688,1607,2928,1556,1372
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,176,103,73,112,112,54,64,45,19
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,352,185,167,286,286,138,66,37,29
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,15,6,9,14,14,9,1,1,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),1946,1398,548,1477,1477,367,469,288,181
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,71,62,9,71,71,9,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,102,81,21,96,96,20,6,5,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1098,835,263,1001,1001,237,97,71,26
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,563,360,203,245,245,78,318,193,125
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,112,60,52,64,64,23,48,19,29
Artificial Intelligence,11.0701,Computer Science,All award levels (total),53483,41518,11965,38889,38889,7684,14594,10313,4281
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,63,54,9,63,63,9,0,0,0
Artificial Intelligence,11.0701,Computer Science,Associate's degree,3425,2860,565,3089,3089,484,336,255,81
Artificial Intelligence,11.0701,Computer Science,Bachelor's degree,35966,28567,7399,31290,31290,6164,4676,3441,1235
Artificial Intelligence,11.0701,Computer Science,Master's degree,12659,8940,3719,3896,3896,910,8763,5954,2809
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – research/scholarship,1179,956,223,401,401,77,778,632,146
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – professional practice,47,37,10,47,47,10,0,0,0
Artificial Intelligence,11.0701,Computer Science,Postbaccalaureate certificate,115,80,35,92,92,28,23,16,7
Artificial Intelligence,11.0701,Computer Science,Post-master's certificate,29,24,5,11,11,2,18,15,3
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),2497,1560,937,1464,1464,480,1033,576,457
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,53,32,21,52,52,20,1,0,1
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,21,14,7,21,21,7,0,0,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,109,77,32,105,105,32,4,4,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,288,222,66,220,220,42,68,44,24
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,1712,1021,691,880,880,309,832,450,382
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,260,163,97,167,167,60,93,56,37
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,54,31,23,19,19,10,35,22,13
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",All award levels (total),782,595,187,617,617,139,165,117,48
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate < 60 semester credit hours,20,18,2,20,20,2,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate > 60 semester credit hours,19,17,2,19,19,2,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Associate's degree,34,21,13,34,34,13,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Bachelor's degree,464,385,79,411,411,70,53,44,9
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Master's degree,201,136,65,103,103,33,98,66,32
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Doctor's degree – research/scholarship,5,5,0,5,5,0,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postbaccalaureate certificate,39,13,26,25,25,19,14,7,7
Artificial Intelligence,11.1005,Information Technology Project Management,All award levels (total),1796,1177,619,1379,1379,402,417,200,217
