SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),151,117,34,54,54,10,97,73,24
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,112,85,27,40,40,8,72,53,19
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,39,32,7,14,14,2,25,20,5
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),12621,9010,3611,10737,10737,2900,1884,1173,711
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,183,147,36,183,183,36,0,0,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,123,97,26,123,123,26,0,0,0
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,985,764,221,976,976,220,9,8,1
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,6350,4908,1442,5964,5964,1317,386,261,125
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,4544,2797,1747,3119,3119,1182,1425,860,565
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,159,106,53,108,108,36,51,34,17
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – other,4,1,3,3,3,2,1,0,1
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,257,178,79,246,246,77,11,9,2
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,16,12,4,15,15,4,1,1,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2187,1666,521,1915,1915,429,272,180,92
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,13,7,6,13,13,6,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate > 60 semester credit hours,8,4,4,8,8,4,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,180,141,39,177,177,37,3,1,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1612,1255,357,1557,1557,343,55,41,14
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,358,248,110,151,151,37,207,134,73
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,16,11,5,9,9,2,7,4,3
Artificial Intelligence,11.0701,Computer Science,All award levels (total),22908,18928,3980,16939,16939,2504,5969,4493,1476
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,23,19,4,22,22,4,1,1,0
Artificial Intelligence,11.0701,Computer Science,Associate's degree,1152,1012,140,1111,1111,132,41,33,8
