SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),703,511,192,379,379,110,324,242,82
Artificial Intelligence,11.0102,Artificial Intelligence,Associate's degree,7,6,1,7,7,1,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,104,71,33,85,85,25,19,11,8
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,486,352,134,224,224,72,262,200,62
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,37,28,9,9,9,3,28,22,6
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,69,54,15,54,54,9,15,9,6
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),17153,11245,5908,14475,14475,4677,2678,1447,1231
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,177,145,32,176,176,32,1,1,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,110,81,29,107,107,28,3,2,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,987,788,199,975,975,196,12,9,3
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,9584,6916,2668,8932,8932,2425,652,409,243
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,5850,3078,2772,3955,3955,1846,1895,969,926
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,184,100,84,95,95,41,89,46,43
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,254,134,120,229,229,105,25,10,15
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,7,3,4,6,6,4,1,1,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),1822,1240,582,1448,1448,405,374,197,177
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,33,27,6,33,33,6,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,99,77,22,96,96,21,3,2,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,982,743,239,920,920,212,62,35,27
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,557,320,237,320,320,131,237,131,106
