Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2014,Materials Science,All award levels (total),16832,13001,3831
2015,Materials Science,All award levels (total),18379,14195,4184
2016,Materials Science,All award levels (total),19696,15182,4514
2017,Materials Science,All award levels (total),21127,16286,4841
2018,Materials Science,All award levels (total),22164,16992,5172
2019,Materials Science,All award levels (total),22064,16965,5099
2020,Materials Science,All award levels (total),21090,16254,4836
2021,Materials Science,All award levels (total),20152,15403,4749
2022,Materials Science,All award levels (total),19555,15404,4151
2023,Materials Science,All award levels (total),19370,14866,4504
2014,Materials Science,Associate's degree,76,74,2
2015,Materials Science,Associate's degree,97,84,13
2016,Materials Science,Associate's degree,76,71,5
2017,Materials Science,Associate's degree,76,62,14
2018,Materials Science,Associate's degree,65,49,16
2019,Materials Science,Associate's degree,69,54,15
2020,Materials Science,Associate's degree,62,56,6
2021,Materials Science,Associate's degree,66,54,12
2022,Materials Science,Associate's degree,48,44,4
2023,Materials Science,Associate's degree,48,42,6
2014,Materials Science,Bachelor's degree,10549,9578,971
2015,Materials Science,Bachelor's degree,11702,10607,1095
2016,Materials Science,Bachelor's degree,12872,11582,1290
2017,Materials Science,Bachelor's degree,14094,12578,1516
2018,Materials Science,Bachelor's degree,14683,13035,1648
2019,Materials Science,Bachelor's degree,14514,12912,1602
2020,Materials Science,Bachelor's degree,14006,12476,1530
2021,Materials Science,Bachelor's degree,13032,11741,1291
2022,Materials Science,Bachelor's degree,12267,11144,1123
2023,Materials Science,Bachelor's degree,11356,10418,938
2019,Materials Science,Doctor's degree – other,2,2,0
2020,Materials Science,Doctor's degree – other,1,1,0
2021,Materials Science,Doctor's degree – other,2,2,0
2023,Materials Science,Doctor's degree – other,1,1,0
2014,Materials Science,Doctor's degree – research/scholarship,1960,939,1021
2015,Materials Science,Doctor's degree – research/scholarship,2098,1027,1071
2016,Materials Science,Doctor's degree – research/scholarship,2148,1067,1081
2017,Materials Science,Doctor's degree – research/scholarship,2157,1081,1076
2018,Materials Science,Doctor's degree – research/scholarship,2190,1071,1119
2019,Materials Science,Doctor's degree – research/scholarship,2296,1148,1148
2020,Materials Science,Doctor's degree – research/scholarship,2118,1008,1110
2021,Materials Science,Doctor's degree – research/scholarship,2223,1036,1187
2022,Materials Science,Doctor's degree – research/scholarship,2441,1176,1265
2023,Materials Science,Doctor's degree – research/scholarship,2420,1229,1191
2014,Materials Science,Master's degree,3982,2172,1810
2015,Materials Science,Master's degree,4193,2219,1974
2016,Materials Science,Master's degree,4289,2188,2101
2017,Materials Science,Master's degree,4551,2345,2206
2018,Materials Science,Master's degree,4903,2549,2354
2019,Materials Science,Master's degree,4776,2473,2303
2020,Materials Science,Master's degree,4594,2450,2144
2021,Materials Science,Master's degree,4505,2292,2213
2022,Materials Science,Master's degree,4404,2715,1689
2023,Materials Science,Master's degree,5027,2708,2319
2014,Materials Science,Post-master's certificate,30,15,15
2015,Materials Science,Post-master's certificate,23,10,13
2016,Materials Science,Post-master's certificate,31,17,14
2017,Materials Science,Post-master's certificate,23,12,11
2018,Materials Science,Post-master's certificate,28,16,12
2019,Materials Science,Post-master's certificate,56,45,11
2020,Materials Science,Post-master's certificate,22,11,11
2021,Materials Science,Post-master's certificate,25,15,10
2022,Materials Science,Post-master's certificate,50,26,24
2023,Materials Science,Post-master's certificate,36,22,14
2014,Materials Science,Postbaccalaureate certificate,181,171,10
2015,Materials Science,Postbaccalaureate certificate,234,217,17
2016,Materials Science,Postbaccalaureate certificate,255,234,21
2017,Materials Science,Postbaccalaureate certificate,208,191,17
2018,Materials Science,Postbaccalaureate certificate,246,223,23
2019,Materials Science,Postbaccalaureate certificate,279,260,19
2020,Materials Science,Postbaccalaureate certificate,254,221,33
2021,Materials Science,Postbaccalaureate certificate,262,227,35
2022,Materials Science,Postbaccalaureate certificate,299,255,44
2023,Materials Science,Postbaccalaureate certificate,265,232,33
2014,Materials Science,Postsecondary certificate < 60 semester credit hours,52,50,2
2015,Materials Science,Postsecondary certificate < 60 semester credit hours,32,31,1
2016,Materials Science,Postsecondary certificate < 60 semester credit hours,25,23,2
2017,Materials Science,Postsecondary certificate < 60 semester credit hours,18,17,1
2018,Materials Science,Postsecondary certificate < 60 semester credit hours,48,48,0
2019,Materials Science,Postsecondary certificate < 60 semester credit hours,72,71,1
2020,Materials Science,Postsecondary certificate < 60 semester credit hours,33,31,2
2021,Materials Science,Postsecondary certificate < 60 semester credit hours,37,36,1
2022,Materials Science,Postsecondary certificate < 60 semester credit hours,46,44,2
2023,Materials Science,Postsecondary certificate < 60 semester credit hours,217,214,3
2014,Materials Science,Postsecondary certificate > 60 semester credit hours,2,2,0
2018,Materials Science,Postsecondary certificate > 60 semester credit hours,1,1,0
