Table 4-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
"Education-related debt of research doctorate recipients, by broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Median debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt level,All fields,,Science and engineering ,,,,,,,,,,,,,,,,,,,,,,,,Non-science and engineering,,,,,,,,,,,
,,,Total,,Agricultural sciences and natural resources,,Biological and biomedical sciences,,Computer and information sciences,,Engineering,,"Geosciences, atmospheric, and ocean sciences",,Health sciences,,Mathematics and statistics,,Multidisciplinary/ interdisciplinary sciences,,Physical sciences,,Psychology,,Social sciences,,Total,,Business,,Education,,Humanities,,Visual and performing arts,,Other non-science and engineering,
"$120,001–$140,000",675,1.3,435,1,12,1.1,81,0.9,12,0.6,29,0.3,11,1,67,2.8,5,0.3,18,1.2,19,0.4,107,3.3,74,1.6,240,2.3,17,1.3,115,3.3,54,1.8,10,1.4,44,2.3
"$140,001–$160,000",541,1,337,0.8,D,D,46,0.5,5,0.2,34,0.4,7,0.6,62,2.6,D,D,7,0.5,16,0.3,91,2.8,60,1.3,204,2,15,1.1,90,2.6,41,1.4,11,1.5,47,2.4
"$160,001 or more",1943,3.7,1196,2.9,34,3,154,1.7,20,1,84,0.9,10,0.9,212,8.8,9,0.5,30,1.9,31,0.6,411,12.6,201,4.4,747,7.2,46,3.5,349,10,160,5.4,32,4.4,160,8.3
Graduate debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All reporting graduate debt (number),51964,,41577,,1133,,9012,,2028,,9646,,1117,,2401,,1877,,1549,,4975,,3244,,4595,,10387,,1304,,3498,,2934,,723,,1928,
Median debt (dollars),35000,,35000,,25000,,25000,,15000,,15000,,25000,,55000,,15000,,25000,,15000,,65000,,35000,,55000,,35000,,55000,,45000,,35000,,55000,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,38115,73.3,31924,76.8,826,72.9,7205,79.9,1725,85.1,7998,82.9,919,82.3,1323,55.1,1664,88.7,1239,80,4261,85.6,1635,50.4,3129,68.1,6191,59.6,972,74.5,1749,50,1916,65.3,467,64.6,1087,56.4
"$10,000 or less",3128,6,2480,6,92,8.1,505,5.6,105,5.2,574,6,61,5.5,145,6,85,4.5,98,6.3,288,5.8,192,5.9,335,7.3,648,6.2,60,4.6,219,6.3,188,6.4,45,6.2,136,7.1
"$10,001–$20,000",1819,3.5,1361,3.3,50,4.4,283,3.1,48,2.4,305,3.2,31,2.8,97,4,36,1.9,55,3.6,123,2.5,157,4.8,176,3.8,458,4.4,50,3.8,182,5.2,114,3.9,36,5,76,3.9
"$20,001–$30,000",1404,2.7,977,2.3,26,2.3,196,2.2,27,1.3,204,2.1,27,2.4,84,3.5,26,1.4,20,1.3,84,1.7,126,3.9,157,3.4,427,4.1,42,3.2,157,4.5,112,3.8,30,4.1,86,4.5
"$30,001–$40,000",965,1.9,659,1.6,25,2.2,141,1.6,13,0.6,117,1.2,11,1,95,4,18,1,20,1.3,35,0.7,96,3,88,1.9,306,2.9,20,1.5,132,3.8,81,2.8,19,2.6,54,2.8
"$40,001–$50,000",838,1.6,592,1.4,14,1.2,102,1.1,14,0.7,104,1.1,13,1.2,77,3.2,10,0.5,27,1.7,39,0.8,104,3.2,88,1.9,246,2.4,13,1,116,3.3,58,2,10,1.4,49,2.5
"$50,001–$60,000",767,1.5,496,1.2,D,D,103,1.1,21,1,81,0.8,8,0.7,68,2.8,D,D,12,0.8,25,0.5,76,2.3,81,1.8,271,2.6,14,1.1,117,3.3,57,1.9,17,2.4,66,3.4
"$60,001–$70,000",614,1.2,390,0.9,D,D,72,0.8,13,0.6,41,0.4,9,0.8,54,2.2,D,D,7,0.5,25,0.5,78,2.4,69,1.5,224,2.2,11,0.8,93,2.7,64,2.2,9,1.2,47,2.4
"$70,001–$80,000",509,1,314,0.8,5,0.4,60,0.7,D,D,24,0.2,D,D,55,2.3,6,0.3,D,D,15,0.3,60,1.8,65,1.4,195,1.9,15,1.2,86,2.5,41,1.4,16,2.2,37,1.9
"$80,001–$90,000",433,0.8,264,0.6,D,D,40,0.4,D,D,32,0.3,9,0.8,41,1.7,D,D,D,D,14,0.3,59,1.8,50,1.1,169,1.6,13,1,82,2.3,36,1.2,11,1.5,27,1.4
"$90,001–$100,000",472,0.9,288,0.7,D,D,44,0.5,8,0.4,36,0.4,5,0.4,30,1.2,D,D,10,0.6,14,0.3,81,2.5,48,1,184,1.8,15,1.2,86,2.5,33,1.1,13,1.8,37,1.9
"$100,001–$120,000",723,1.4,463,1.1,D,D,89,1,19,0.9,40,0.4,8,0.7,79,3.3,D,D,14,0.9,19,0.4,102,3.1,78,1.7,260,2.5,20,1.5,131,3.7,46,1.6,14,1.9,49,2.5
"$120,001–$140,000",454,0.9,275,0.7,D,D,38,0.4,7,0.3,21,0.2,D,D,59,2.5,D,D,7,0.5,10,0.2,74,2.3,46,1,179,1.7,11,0.8,83,2.4,40,1.4,9,1.2,36,1.9
"$140,001–$160,000",583,1.1,355,0.9,D,D,47,0.5,5,0.2,21,0.2,6,0.5,69,2.9,D,D,11,0.7,13,0.3,103,3.2,66,1.4,228,2.2,16,1.2,105,3,49,1.7,8,1.1,50,2.6
"$160,001 or more",1140,2.2,739,1.8,D,D,87,1,10,0.5,48,0.5,D,D,125,5.2,5,0.3,12,0.8,10,0.2,301,9.3,119,2.6,401,3.9,32,2.5,160,4.6,99,3.4,19,2.6,91,4.7
Undergraduate debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All reporting undergraduate debt (number),51993,,41601,,1131,,9017,,2029,,9646,,1118,,2405,,1878,,1554,,4977,,3249,,4597,,10392,,1304,,3499,,2936,,724,,1929,
Median debt (dollars),25000,,25000,,25000,,25000,,15000,,25000,,25000,,25000,,15000,,25000,,25000,,25000,,25000,,25000,,25000,,35000,,25000,,25000,,35000,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,38101,73.3,30972,74.5,836,73.9,6232,69.1,1791,88.3,8016,83.1,796,71.2,1637,68.1,1555,82.8,1264,81.3,3591,72.2,1907,58.7,3347,72.8,7129,68.6,1112,85.3,2248,64.2,1964,66.9,494,68.2,1311,68
"$10,000 or less",3049,5.9,2402,5.8,67,5.9,555,6.2,88,4.3,481,5,72,6.4,140,5.8,90,4.8,81,5.2,295,5.9,267,8.2,266,5.8,647,6.2,48,3.7,232,6.6,199,6.8,55,7.6,113,5.9
"$10,001–$20,000",2622,5,2096,5,57,5,587,6.5,48,2.4,322,3.3,68,6.1,124,5.2,83,4.4,48,3.1,287,5.8,245,7.5,227,4.9,526,5.1,34,2.6,177,5.1,177,6,38,5.2,100,5.2
"$20,001–$30,000",2442,4.7,1948,4.7,44,3.9,576,6.4,32,1.6,274,2.8,69,6.2,121,5,58,3.1,43,2.8,273,5.5,237,7.3,221,4.8,494,4.8,28,2.1,175,5,166,5.7,34,4.7,91,4.7
"$30,001–$40,000",1756,3.4,1318,3.2,49,4.3,361,4,24,1.2,167,1.7,45,4,96,4,34,1.8,37,2.4,192,3.9,167,5.1,146,3.2,438,4.2,27,2.1,151,4.3,149,5.1,39,5.4,72,3.7
"$40,001–$50,000",1027,2,735,1.8,18,1.6,181,2,9,0.4,113,1.2,13,1.2,72,3,21,1.1,21,1.4,95,1.9,94,2.9,98,2.1,292,2.8,13,1,116,3.3,79,2.7,22,3,62,3.2
"$50,001–$60,000",835,1.6,607,1.5,19,1.7,150,1.7,15,0.7,69,0.7,16,1.4,61,2.5,10,0.5,14,0.9,64,1.3,94,2.9,95,2.1,228,2.2,11,0.8,91,2.6,64,2.2,13,1.8,49,2.5
"$60,001–$70,000",493,0.9,349,0.8,9,0.8,82,0.9,D,D,50,0.5,15,1.3,24,1,D,D,10,0.6,38,0.8,53,1.6,55,1.2,144,1.4,5,0.4,74,2.1,28,1,7,1,30,1.6
"$70,001–$80,000",370,0.7,262,0.6,D,D,71,0.8,D,D,34,0.4,6,0.5,16,0.7,7,0.4,6,0.4,44,0.9,33,1,37,0.8,108,1,6,0.5,51,1.5,22,0.7,5,0.7,24,1.2
"$80,001–$90,000",408,0.8,305,0.7,D,D,82,0.9,D,D,46,0.5,11,1,32,1.3,8,0.4,10,0.6,32,0.6,42,1.3,32,0.7,103,1,5,0.4,45,1.3,22,0.7,8,1.1,23,1.2
"$90,001 or more",890,1.7,607,1.5,D,D,140,1.6,14,0.7,74,0.8,7,0.6,82,3.4,D,D,20,1.3,66,1.3,110,3.4,73,1.6,283,2.7,15,1.2,139,4,66,2.2,9,1.2,54,2.8
