Table 6-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Median basic annual salary for research doctorate recipients with definite postgraduation plans in the United States, by broad field of doctorate, type of postgraduation plans, and sex: 2023",,,,,,,,,
(Dollars),,,,,,,,,
Field of doctorate,Total with definite plana,,,Employment,,,Postdoctoral study,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
Doctorate recipients reporting annual salary,75000,83000,70000,100000,110000,87000,59155,60000,57000
Science and engineering ,78000,85000,70000,110000,120000,95000,60000,60000,57000
Agricultural sciences and natural resources,66000,65000,69000,85000,85000,83000,55000,55000,55000
Biological and biomedical sciences  ,64000,65000,64000,100000,106392,95000,56400,56100,56400
Computer and information sciences  ,150000,150000,120000,160000,160000,140000,70000,70000,70000
Engineering  ,100000,104000,95000,120000,120000,115000,60000,60000,60000
"Geosciences, atmospheric, and ocean sciences  ",66500,67000,66250,82000,85000,78000,64417,63000,65000
Health sciences  ,80000,80000,80000,95000,100484,91650,59185,58000,59556
Mathematics and statistics  ,82000,80000,86250,120000,125000,118000,65000,67000,65000
Multidisciplinary/ interdisciplinary sciences,105000,115000,82000,129000,135000,113625,62000,65000,60000
Physical sciences  ,80000,80000,82727,115000,115000,110000,62000,60000,65000
Psychology  ,58500,60000,58000,80000,82500,78000,54835,54840,54835
Social sciences  ,75000,77250,72000,85000,92000,80000,60000,60000,60000
Non-science and engineering,70000,70000,70000,75000,78000,73000,56650,55957,58000
Business,135000,140000,130000,140000,150000,135000,68000,65000,70000
Education  ,75000,80000,72100,76700,85000,75000,60000,56000,60000
Humanities,58000,57000,59754,60000,60000,60000,54000,53380,55000
Visual and performing arts  ,57000,55000,60000,60000,55000,60000,55000,54920,55000
Other non-science and engineering,70000,71000,70000,74230,76000,72000,57000,60000,56448
