Table 1-8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Research doctorate recipients, by ethnicity, race, and citizenship status: 2013–23",,,,,,,,,,,
(Number),,,,,,,,,,,
"Ethnicity, race, and citizenship status",2013.0,2014.0,2015.0,2016.0,2017,2018,2019.0,2020,2021,2022.0,2023.0
All doctorate recipients,52703.0,53986.0,54886.0,54809.0,54550,55078,55599.0,55203,52160,57448.0,57862.0
U.S. citizen or permanent resident,33964.0,34003.0,35071.0,35678.0,35733,35349,35218.0,34458,31861,35207.0,35566.0
Temporary visa holder,15674.0,15839.0,16129.0,16477.0,16288,17582,18324.0,18473,17768,19620.0,19393.0
Unknown citizenship,3065.0,4144.0,3686.0,2654.0,2529,2147,2057.0,2272,2531,2621.0,2903.0
Hispanic or Latino,3073.0,3147.0,3422.0,3572.0,3566,3592,4000.0,4108,4038,4612.0,4815.0
U.S. citizen or permanent resident,2135.0,2190.0,2449.0,2548.0,2536,2572,2844.0,2850,2873,3348.0,3449.0
Temporary visa holder,921.0,944.0,964.0,1016.0,997,1016,1146.0,1253,1152,1261.0,1346.0
Unknown citizenship,17.0,13.0,9.0,8.0,33,4,10.0,5,13,3.0,20.0
Not Hispanic or Latino,,,,,,,,,,,
American Indian or Alaska Native,126.0,109.0,141.0,136.0,111,116,124.0,100,105,105.0,121.0
U.S. citizen or permanent resident,119.0,103.0,131.0,128.0,109,115,119.0,97,100,98.0,115.0
Temporary visa holdera,7.0,6.0,10.0,8.0,D,D,5.0,D,D,7.0,6.0
Unknown citizenship,0.0,0.0,0.0,0.0,D,D,0.0,D,D,0.0,0.0
Asian,13430.0,13556.0,13833.0,14052.0,14261,14801,15181.0,15086,14637,16461.0,16678.0
U.S. citizen or permanent resident,2892.0,2881.0,3072.0,3084.0,3500,3302,3418.0,3212,3028,3581.0,3828.0
Temporary visa holder,10514.0,10662.0,10741.0,10931.0,10731,11464,11718.0,11842,11585,12864.0,12821.0
Unknown citizenship,24.0,13.0,20.0,37.0,30,35,45.0,32,24,16.0,29.0
Black or African American,2655.0,2654.0,2773.0,2866.0,2949,3050,3091.0,3090,3070,3378.0,3451.0
U.S. citizen or permanent resident,2172.0,2172.0,2275.0,2358.0,2398,2449,2511.0,2453,2458,2637.0,2725.0
Temporary visa holder,479.0,477.0,493.0,502.0,529,595,570.0,625,596,739.0,721.0
Unknown citizenship,4.0,5.0,5.0,6.0,22,6,10.0,12,16,2.0,5.0
White,27871.0,27947.0,28619.0,28766.0,28346,28553,28073.0,27766,24806,26804.0,26227.0
U.S. citizen or permanent resident,24749.0,24829.0,25375.0,25502.0,24842,24924,24209.0,23925,21423,23247.0,23057.0
Temporary visa holder,3070.0,3086.0,3180.0,3224.0,3429,3595,3770.0,3785,3345,3549.0,3148.0
Unknown citizenship,52.0,32.0,64.0,40.0,75,34,94.0,56,38,8.0,22.0
More than one race,929.0,939.0,971.0,1116.0,1110,1211,1266.0,1250,1201,1329.0,1420.0
U.S. citizen or permanent resident,858.0,879.0,903.0,1033.0,1015,1100,1121.0,1134,1087,1206.0,1296.0
Temporary visa holder,71.0,60.0,67.0,83.0,D,D,145.0,D,D,123.0,124.0
Unknown citizenship,0.0,0.0,1.0,0.0,D,D,0.0,D,D,0.0,0.0
Other race or race not reported,447.0,411.0,458.0,470.0,788,861,894.0,831,981,957.0,1099.0
U.S. citizen or permanent resident,279.0,272.0,249.0,272.0,471,371,381.0,353,388,421.0,459.0
Temporary visa holder,147.0,125.0,171.0,174.0,279,476,475.0,454,541,529.0,631.0
Unknown citizenship,21.0,14.0,38.0,24.0,38,14,38.0,24,52,7.0,9.0
Ethnicity not reported,4172.0,5223.0,4669.0,3831.0,3419,2894,2970.0,2972,3322,3802.0,4051.0
U.S. citizen or permanent resident,760.0,677.0,617.0,753.0,862,516,615.0,434,504,669.0,637.0
Temporary visa holder,465.0,479.0,503.0,539.0,228,324,495.0,395,430,548.0,596.0
Unknown citizenship,2947.0,4067.0,3549.0,2539.0,2329,2054,1860.0,2143,2388,2585.0,2818.0
