SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),212,155,57,108,108,28,104,75,29
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,11,10,1,11,11,1,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,184,135,49,93,93,26,91,68,23
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,17,10,7,4,4,1,13,7,6
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),16325,11304,5021,12210,12210,3434,4115,2528,1587
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,214,173,41,212,212,41,2,2,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,117,90,27,116,116,27,1,1,0
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,973,756,217,959,959,213,14,10,4
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,7460,5587,1873,6978,6978,1723,482,332,150
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6911,4312,2599,3545,3545,1251,3366,2018,1348
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,173,86,87,114,114,67,59,39,20
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,465,298,167,274,274,102,191,126,65
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,12,2,10,12,12,10,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2436,1825,611,1664,1664,348,772,509,263
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,91,79,12,91,91,12,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,147,122,25,144,144,24,3,2,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1198,949,249,1140,1140,234,58,43,15
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,860,582,278,248,248,64,612,398,214
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,4,3,1,2,2,1,2,2,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,136,90,46,39,39,13,97,64,33
Artificial Intelligence,11.0701,Computer Science,All award levels (total),41586,32744,8842,27123,27123,4680,14463,10301,4162
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,32,26,6,29,29,5,3,2,1
Artificial Intelligence,11.0701,Computer Science,Associate's degree,2084,1768,316,1979,1979,292,105,81,24
Artificial Intelligence,11.0701,Computer Science,Bachelor's degree,23714,19542,4172,21345,21345,3602,2369,1799,570
Artificial Intelligence,11.0701,Computer Science,Master's degree,14680,10534,4146,3285,3285,695,11395,7944,3451
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – research/scholarship,943,771,172,378,378,64,565,457,108
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – other,50,42,8,50,50,8,0,0,0
Artificial Intelligence,11.0701,Computer Science,Postbaccalaureate certificate,65,48,17,49,49,11,16,10,6
Artificial Intelligence,11.0701,Computer Science,Post-master's certificate,18,13,5,8,8,3,10,8,2
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),981,645,336,725,725,228,256,148,108
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,62,38,24,58,58,22,4,2,2
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,20,14,6,19,19,6,1,1,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,107,72,35,105,105,35,2,2,0
