SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),1239,944,295,598,598,126,641,472,169
Artificial Intelligence,11.0102,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,6,5,1,6,6,1,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Associate's degree,13,11,2,10,10,0,3,1,2
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,109,81,28,102,102,27,7,6,1
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,936,716,220,374,374,79,562,421,141
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,34,25,9,10,10,3,24,18,6
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,141,106,35,96,96,16,45,26,19
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),19916,12906,7010,14726,14726,4869,5190,3049,2141
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,191,160,31,191,191,31,0,0,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,184,139,45,181,181,44,3,2,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,968,754,214,954,954,211,14,11,3
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,9632,6942,2690,9015,9015,2469,617,396,221
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,8428,4652,3776,3985,3985,1912,4443,2579,1864
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,186,83,103,111,111,62,75,34,41
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,322,174,148,285,285,138,37,27,10
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,5,2,3,4,4,2,1,0,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2374,1616,758,1380,1380,377,994,613,381
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,21,16,5,21,21,5,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,95,79,16,94,94,16,1,1,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,985,747,238,907,907,214,78,54,24
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,1092,706,386,306,306,112,786,512,274
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,2,0,2,0,0,0,2,0,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,179,68,111,52,52,30,127,46,81
Artificial Intelligence,11.0701,Computer Science,All award levels (total),72421,55130,17291,49582,49582,10385,22839,15933,6906
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,28,18,10,28,28,10,0,0,0
Artificial Intelligence,11.0701,Computer Science,Associate's degree,4695,3799,896,4460,4460,822,235,161,74
Artificial Intelligence,11.0701,Computer Science,Bachelor's degree,43697,34373,9324,38513,38513,7940,5184,3800,1384
Artificial Intelligence,11.0701,Computer Science,Master's degree,22206,15585,6621,5873,5873,1441,16333,11153,5180
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – research/scholarship,1429,1090,339,523,523,123,906,690,216
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – professional practice,49,36,13,49,49,13,0,0,0
Artificial Intelligence,11.0701,Computer Science,Postbaccalaureate certificate,275,194,81,123,123,34,152,105,47
Artificial Intelligence,11.0701,Computer Science,Post-master's certificate,42,35,7,13,13,2,29,24,5
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),3266,2034,1232,2007,2007,738,1259,765,494
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,41,15,26,40,40,25,1,0,1
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,9,3,6,9,9,6,0,0,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,108,67,41,106,106,40,2,1,1
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,444,290,154,410,410,141,34,21,13
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,2472,1545,927,1295,1295,473,1177,723,454
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,186,112,74,142,142,50,44,20,24
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,6,2,4,5,5,3,1,0,1
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",All award levels (total),913,722,191,726,726,141,187,137,50
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate < 60 semester credit hours,23,19,4,23,23,4,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate > 60 semester credit hours,10,9,1,10,10,1,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Associate's degree,35,28,7,35,35,7,0,0,0
