SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.1005,Information Technology Project Management,Master's degree,869,489,380,517,517,205,352,177,175
Artificial Intelligence,11.1005,Information Technology Project Management,Doctor's degree – research/scholarship,6,3,3,6,6,3,0,0,0
Artificial Intelligence,11.1005,Information Technology Project Management,Postbaccalaureate certificate,105,55,50,76,76,34,29,13,16
Artificial Intelligence,11.1005,Information Technology Project Management,Post-master's certificate,1,0,1,1,1,1,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,All award levels (total),4202,3087,1115,2444,2444,440,1758,1083,675
Artificial Intelligence,14.0903,Computer Software Engineering,Postsecondary certificate < 60 semester credit hours,8,6,2,8,8,2,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Associate's degree,64,51,13,64,64,13,0,0,0
Artificial Intelligence,14.0903,Computer Software Engineering,Bachelor's degree,1888,1584,304,1724,1724,264,164,124,40
Artificial Intelligence,14.0903,Computer Software Engineering,Master's degree,2180,1399,781,608,608,153,1572,944,628
Artificial Intelligence,14.0903,Computer Software Engineering,Doctor's degree – research/scholarship,16,13,3,3,3,0,13,10,3
Artificial Intelligence,14.0903,Computer Software Engineering,Postbaccalaureate certificate,46,34,12,37,37,8,9,5,4
Artificial Intelligence,27.0303,Computational Mathematics,All award levels (total),381,272,109,259,259,76,122,89,33
Artificial Intelligence,27.0303,Computational Mathematics,Postsecondary certificate < 60 semester credit hours,1,1,0,1,1,0,0,0,0
Artificial Intelligence,27.0303,Computational Mathematics,Bachelor's degree,345,246,99,234,234,70,111,82,29
Artificial Intelligence,27.0303,Computational Mathematics,Master's degree,9,5,4,9,9,4,0,0,0
Artificial Intelligence,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,26,20,6,15,15,2,11,7,4
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,All award levels (total),1472,885,587,1260,1260,524,212,149,63
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Associate's degree,8,8,0,8,8,0,0,0,0
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Bachelor's degree,1132,666,466,1072,1072,446,60,40,20
